epoch,train_loss,val_scoretrack,val_loss,val_ccc,val_rmse,val_mae,val_f1,val_acc,val_kappa,val_cls_loss,val_reg_loss
72,0.005322,0.017004,5.500457,-0.067374,0.962262,0.797399,0.243386,0.333333,-0.125,4.574509,0.925948
73,0.006246,0.008267,5.818191,-0.093584,0.97834,0.823155,0.243386,0.333333,-0.125,4.861042,0.957149
74,0.005423,0.014136,5.498542,-0.075979,0.969823,0.794148,0.243386,0.333333,-0.125,4.557984,0.940557
75,0.003983,0.059246,5.598617,-0.027186,0.937056,0.771127,0.243386,0.333333,-0.038462,4.720542,0.878075
76,0.004423,0.002592,5.839545,-0.110609,1.045745,0.828341,0.243386,0.333333,-0.125,4.745962,1.093583
77,0.004663,0.036427,5.884402,-0.009106,0.925315,0.797843,0.243386,0.333333,-0.125,5.028193,0.856208
78,0.006579,0.148125,6.159694,-0.01118,0.900233,0.743566,0.355556,0.555556,0.1,5.349275,0.810419
79,0.004614,0.023805,6.119646,-0.04697,0.946947,0.791453,0.243386,0.333333,-0.125,5.222938,0.896708
80,0.005629,0.0228,6.105782,-0.049987,0.941841,0.783254,0.243386,0.333333,-0.125,5.218718,0.887064
81,0.004836,0.01696,5.604995,-0.067507,0.97136,0.779724,0.243386,0.333333,-0.125,4.661454,0.943541
82,0.006606,-0.062561,5.40149,-0.03259,0.911703,0.758107,0.157407,0.222222,-0.3125,4.570287,0.831202
83,0.005753,0.161609,5.119561,-0.011564,0.900148,0.776268,0.353535,0.555556,0.142857,4.309295,0.810266
84,0.006312,0.081121,5.735161,-0.04906,0.918939,0.765118,0.315152,0.444444,-0.022727,4.890712,0.844449
85,0.004904,0.070945,6.174109,-0.07959,1.017757,0.823241,0.315152,0.444444,-0.022727,5.13828,1.035829
86,0.007645,0.082274,6.221614,-0.045601,0.931344,0.795867,0.315152,0.444444,-0.022727,5.354212,0.867401
87,0.005738,0.003249,6.276262,-0.10864,1.006409,0.825487,0.243386,0.333333,-0.125,5.263403,1.012859
88,0.006828,-0.010252,6.20418,-0.101286,1.018611,0.808019,0.244444,0.333333,-0.173913,5.166611,1.037568
89,0.010524,-0.009387,6.017699,-0.098693,0.954969,0.786835,0.244444,0.333333,-0.173913,5.105734,0.911965
90,0.004524,0.108424,6.183229,-0.108061,1.010573,0.796356,0.333333,0.444444,0.1,5.16197,1.021259
91,0.004737,0.008042,6.1652,-0.094259,0.962736,0.802478,0.243386,0.333333,-0.125,5.23834,0.92686
92,0.008029,0.051083,5.828151,-0.051674,0.915104,0.760889,0.243386,0.333333,-0.038462,4.990735,0.837416
93,0.006235,0.080873,6.099781,-0.049805,0.95832,0.809056,0.315152,0.444444,-0.022727,5.181404,0.918377
94,0.007015,0.110949,5.546567,-0.044467,0.986967,0.769733,0.314815,0.444444,0.0625,4.572463,0.974105
95,0.004122,0.071616,5.910143,-0.077576,1.009422,0.794515,0.315152,0.444444,-0.022727,4.89121,1.018934
96,0.004537,0.009689,5.728001,-0.089318,1.004889,0.798003,0.243386,0.333333,-0.125,4.718198,1.009802
97,0.007236,0.119873,5.922583,-0.073714,0.978352,0.793248,0.333333,0.444444,0.1,4.965411,0.957172
98,0.005294,0.118406,5.598735,-0.078116,0.989975,0.784318,0.333333,0.444444,0.1,4.618684,0.980051
99,0.003419,0.0101,5.661971,-0.088087,1.003491,0.792933,0.243386,0.333333,-0.125,4.654977,1.006994
100,0.00527,0.131815,5.699785,-0.037888,0.974801,0.765833,0.333333,0.444444,0.1,4.749547,0.950238
101,0.004395,0.054929,5.732128,-0.040137,0.927218,0.757335,0.243386,0.333333,-0.038462,4.872396,0.859732
102,0.004247,0.094068,5.613575,-0.050647,0.938774,0.776008,0.311111,0.444444,0.021739,4.732279,0.881296
103,0.00509,0.099317,6.099812,0.005525,0.915301,0.767367,0.315152,0.444444,-0.022727,5.262036,0.837776
104,0.005866,0.055216,6.474139,-0.039278,0.974895,0.789494,0.243386,0.333333,-0.038462,5.523719,0.950421
105,0.003821,0.051165,6.252771,-0.051428,1.001964,0.791929,0.243386,0.333333,-0.038462,5.24884,1.003931
106,0.003957,0.086089,6.466235,-0.034157,0.928177,0.785098,0.315152,0.444444,-0.022727,5.604722,0.861513
107,0.004953,-0.044284,6.353406,-0.099886,1.032588,0.832916,0.178571,0.222222,-0.211538,5.287167,1.066239
108,0.004761,0.165037,5.92282,0.039556,0.897205,0.766289,0.355556,0.555556,0.1,5.117843,0.804976
109,0.003993,0.057095,5.40529,0.052898,0.906509,0.733675,0.243386,0.333333,-0.125,4.583532,0.821758
110,0.00543,0.106641,5.380772,-0.012928,0.937131,0.754915,0.311111,0.444444,0.021739,4.502558,0.878214
111,0.00429,0.239526,5.301627,0.006028,0.910678,0.728268,0.423077,0.666667,0.289474,4.472293,0.829334
112,0.005506,0.038157,5.407747,-0.003916,0.919011,0.741173,0.243386,0.333333,-0.125,4.563166,0.84458
113,0.00306,0.042482,5.280497,0.009059,0.913701,0.737167,0.243386,0.333333,-0.125,4.445648,0.834849
114,0.004227,0.110171,5.525221,-0.002337,0.927916,0.745437,0.311111,0.444444,0.021739,4.664193,0.861028
115,0.005143,0.041669,5.135364,0.006622,0.903655,0.733039,0.243386,0.333333,-0.125,4.318771,0.816592
116,0.004435,0.252136,5.266307,0.043858,0.853876,0.730677,0.423077,0.666667,0.289474,4.537204,0.729104
117,0.003799,0.02869,5.500745,-0.032318,0.943274,0.737494,0.243386,0.333333,-0.125,4.61098,0.889765
118,0.004513,0.030096,5.602929,-0.0281,0.912176,0.75186,0.243386,0.333333,-0.125,4.770864,0.832066
119,0.00649,0.106178,5.583657,-0.014315,0.924954,0.740173,0.311111,0.444444,0.021739,4.728118,0.85554
120,0.004732,0.057752,6.300668,-0.031669,0.989514,0.759242,0.243386,0.333333,-0.038462,5.321531,0.979138
121,0.003915,0.085107,5.947557,-0.037104,0.972311,0.754007,0.315152,0.444444,-0.022727,5.002168,0.945389
122,0.004418,0.028787,6.182145,-0.032024,0.979177,0.763533,0.243386,0.333333,-0.125,5.223358,0.958787
123,0.005075,0.027633,6.14246,-0.035487,0.991231,0.77346,0.243386,0.333333,-0.125,5.159921,0.98254
124,0.003802,0.051449,6.480536,-0.050579,0.977876,0.778703,0.243386,0.333333,-0.038462,5.524294,0.956242
125,0.00448,0.079065,5.826319,-0.055228,0.96759,0.762239,0.315152,0.444444,-0.022727,4.890087,0.936231
126,0.005721,0.043341,6.562932,-0.074901,0.962127,0.771605,0.243386,0.333333,-0.038462,5.637243,0.925689
127,0.004101,0.031373,5.914371,-0.024268,0.915916,0.755468,0.243386,0.333333,-0.125,5.075469,0.838902
128,0.004536,0.085187,6.863716,-0.036863,0.93201,0.756628,0.315152,0.444444,-0.022727,5.995074,0.868642
129,0.004452,-0.049551,5.406054,0.006439,0.911931,0.740531,0.157407,0.222222,-0.3125,4.574435,0.831619
130,0.004645,0.201543,5.527427,0.108236,0.837864,0.722412,0.353535,0.555556,0.142857,4.825411,0.702016
